Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,29,4140,3345,2786,259,399,205,396,2413,0,0
C:\Users\ByungKyu\Desktop\JDP,29,4140,3345,2786,259,399,205,396,2413,0,0
C:\Users\ByungKyu\Desktop\JDP\src,29,4140,3345,2786,259,399,205,396,2413,0,0
C:\Users\ByungKyu\Desktop\JDP\src\SubInfo,5,985,790,690,69,126,92,69,593,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager,16,2446,1959,1617,124,215,70,272,1559,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util,8,709,596,479,66,58,43,55,261,0,0
