Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,16,2446,1959,1617,124,215,70,272,1559,0,0
C:\Users\ByungKyu\Desktop\JDP\src\TaskManager,16,2446,1959,1617,124,215,70,272,1559,0,0
