Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,8,709,596,479,66,58,43,55,261,0,0
C:\Users\ByungKyu\Desktop\JDP\src\Util,8,709,596,479,66,58,43,55,261,0,0
